ISIN,DocumentType,EffectiveDate,DownloadDate,DownloadUrl,FilePath,MD5Hash,FileSize
DE000A3DV7B5,verkaufsprospekt,19.02.2024,17.06.2024,https://fondswelt.hansainvest.com/uploads/documents/verkaufsprospekt/VKP_AuM_Experts_Momentum_World_19_02_2024.pdf,C:\Users\Ana_Marija\Documents\teletrader\Hansainvest\DE000A3DV7B5\VKP_AuM_Experts_Momentum_World_19_02_2024.pdf,c74ec09f6223dc8eec099d822fb6ada8,1.01 MiB
DE000A3DV7B5,jahresbericht,31.03.2023,17.06.2024,https://fondswelt.hansainvest.com/uploads/documents/jahresbericht/Jahresbericht_1983_AM_Experts_Momentum_World_Bericht_2023-03-31_Layout_PDF_5.pdf,C:\Users\Ana_Marija\Documents\teletrader\Hansainvest\DE000A3DV7B5\Jahresbericht_1983_AM_Experts_Momentum_World_Bericht_2023-03-31_Layout_PDF_5.pdf,ddf6083b6368897bf56e702572bc8e8b,1.09 MiB
DE000A3DV7B5,halbjahresbericht,30.09.2023,17.06.2024,https://fondswelt.hansainvest.com/uploads/documents/halbjahresbericht/HJB_1983_AM_Experts_Momentum_World_Bericht_2023-09-30_Layout_PDF.pdf,C:\Users\Ana_Marija\Documents\teletrader\Hansainvest\DE000A3DV7B5\HJB_1983_AM_Experts_Momentum_World_Bericht_2023-09-30_Layout_PDF.pdf,03ed5ee343303c7431941c12fed69025,877.68 KiB
DE000A3DV7B5,priips,24.01.2024,17.06.2024,https://fondswelt.hansainvest.com/uploads/documents/priips/PRIIPS_DE000A3DV7B5_1036760_DE_DE_2024-01-24_65a54e3b3c292.pdf,C:\Users\Ana_Marija\Documents\teletrader\Hansainvest\DE000A3DV7B5\PRIIPS_DE000A3DV7B5_1036760_DE_DE_2024-01-24_65a54e3b3c292.pdf,801e3b66782400aaaa00fa5c3d85a25a,104.41 KiB
DE000A14UW02,verkaufsprospekt,01.01.2023,17.06.2024,https://fondswelt.hansainvest.com/uploads/documents/verkaufsprospekt/VKP_A_IX_Faktor_Fonds_01_01_2023.pdf,C:\Users\Ana_Marija\Documents\teletrader\Hansainvest\DE000A14UW02\VKP_A_IX_Faktor_Fonds_01_01_2023.pdf,af814d3915c1a1fb53c5a195cbfefbf7,1.10 MiB
DE000A14UW02,jahresbericht,31.12.2023,17.06.2024,https://fondswelt.hansainvest.com/uploads/documents/jahresbericht/6174_JB_AIX_Faktor_Fonds_Bericht_2023-12-31.pdf,C:\Users\Ana_Marija\Documents\teletrader\Hansainvest\DE000A14UW02\6174_JB_AIX_Faktor_Fonds_Bericht_2023-12-31.pdf,774a315025d9a0703697854ef14f42fe,1.18 MiB
DE000A14UW02,halbjahresbericht,30.06.2023,17.06.2024,https://fondswelt.hansainvest.com/uploads/documents/halbjahresbericht/HJB_6174_A_IX_Faktor_Fonds_Bericht_2023-06-30_Layout_PDF.pdf,C:\Users\Ana_Marija\Documents\teletrader\Hansainvest\DE000A14UW02\HJB_6174_A_IX_Faktor_Fonds_Bericht_2023-06-30_Layout_PDF.pdf,9cc5e3711acb7702e577f477a4f148f2,526.02 KiB
DE000A14UW02,priips,24.01.2024,17.06.2024,https://fondswelt.hansainvest.com/uploads/documents/priips/PRIIPS_DE000A14UW02_1035702_DE_DE_2024-01-24_65a544b25109c.pdf,C:\Users\Ana_Marija\Documents\teletrader\Hansainvest\DE000A14UW02\PRIIPS_DE000A14UW02_1035702_DE_DE_2024-01-24_65a544b25109c.pdf,5def56f3ff763e2575c35de45f097e2f,103.90 KiB
DE000A2QJLD2,verkaufsprospekt,01.04.2024,17.06.2024,https://fondswelt.hansainvest.com/uploads/documents/verkaufsprospekt/VKP_Aaapollo_11_Global_01_04_2024.pdf,C:\Users\Ana_Marija\Documents\teletrader\Hansainvest\DE000A2QJLD2\VKP_Aaapollo_11_Global_01_04_2024.pdf,a10039e8178afe1606881853195673f5,1.16 MiB
DE000A2QJLD2,jahresbericht,31.08.2023,17.06.2024,https://fondswelt.hansainvest.com/uploads/documents/jahresbericht/JB_1916_Aaapollo_11_Global_Bericht_2023-08-31_Layout_PDF.pdf,C:\Users\Ana_Marija\Documents\teletrader\Hansainvest\DE000A2QJLD2\JB_1916_Aaapollo_11_Global_Bericht_2023-08-31_Layout_PDF.pdf,d961af57d66818a9581f01380dd398b0,1.02 MiB
DE000A2QJLD2,halbjahresbericht,29.02.2024,17.06.2024,https://fondswelt.hansainvest.com/uploads/documents/halbjahresbericht/HJB_1916_Aaapollo_11_Global_Bericht.pdf,C:\Users\Ana_Marija\Documents\teletrader\Hansainvest\DE000A2QJLD2\HJB_1916_Aaapollo_11_Global_Bericht.pdf,9752001f0ac211df618c1b34eaf2f5ff,563.88 KiB
DE000A2QJLD2,priips,24.01.2024,17.06.2024,https://fondswelt.hansainvest.com/uploads/documents/priips/PRIIPS_DE000A2QJLD2_1036586_DE_DE_2024-01-24_65a54c7d4e399.pdf,C:\Users\Ana_Marija\Documents\teletrader\Hansainvest\DE000A2QJLD2\PRIIPS_DE000A2QJLD2_1036586_DE_DE_2024-01-24_65a54c7d4e399.pdf,7f24250880ffcb866098e67b231adae0,102.81 KiB
DE000A2QJLE0,verkaufsprospekt,01.04.2024,17.06.2024,https://fondswelt.hansainvest.com/uploads/documents/verkaufsprospekt/VKP_Aaapollo_11_Global_01_04_2024.pdf,C:\Users\Ana_Marija\Documents\teletrader\Hansainvest\DE000A2QJLE0\VKP_Aaapollo_11_Global_01_04_2024.pdf,a10039e8178afe1606881853195673f5,1.16 MiB
DE000A2QJLE0,jahresbericht,31.08.2023,17.06.2024,https://fondswelt.hansainvest.com/uploads/documents/jahresbericht/JB_1916_Aaapollo_11_Global_Bericht_2023-08-31_Layout_PDF.pdf,C:\Users\Ana_Marija\Documents\teletrader\Hansainvest\DE000A2QJLE0\JB_1916_Aaapollo_11_Global_Bericht_2023-08-31_Layout_PDF.pdf,d961af57d66818a9581f01380dd398b0,1.02 MiB
DE000A2QJLE0,halbjahresbericht,29.02.2024,17.06.2024,https://fondswelt.hansainvest.com/uploads/documents/halbjahresbericht/HJB_1916_Aaapollo_11_Global_Bericht.pdf,C:\Users\Ana_Marija\Documents\teletrader\Hansainvest\DE000A2QJLE0\HJB_1916_Aaapollo_11_Global_Bericht.pdf,9752001f0ac211df618c1b34eaf2f5ff,563.88 KiB
DE000A2QJLE0,priips,24.01.2024,17.06.2024,https://fondswelt.hansainvest.com/uploads/documents/priips/PRIIPS_DE000A2QJLE0_1036588_DE_DE_2024-01-24_65a54c82047a4.pdf,C:\Users\Ana_Marija\Documents\teletrader\Hansainvest\DE000A2QJLE0\PRIIPS_DE000A2QJLE0_1036588_DE_DE_2024-01-24_65a54c82047a4.pdf,de7c82d0ab6d2a52ce94c2eadfde011e,102.81 KiB
DE000A2QJK43,verkaufsprospekt,01.04.2024,17.06.2024,https://fondswelt.hansainvest.com/uploads/documents/verkaufsprospekt/VKP_ABSOLUTE_Volatility_01_04_2024.pdf,C:\Users\Ana_Marija\Documents\teletrader\Hansainvest\DE000A2QJK43\VKP_ABSOLUTE_Volatility_01_04_2024.pdf,69f628085bfe90d3e8f66504ecc0fc52,1.22 MiB
DE000A2QJK43,jahresbericht,31.10.2023,17.06.2024,https://fondswelt.hansainvest.com/uploads/documents/jahresbericht/JB_1095_ABSOLUTE_Volatility_2023-10-31.pdf,C:\Users\Ana_Marija\Documents\teletrader\Hansainvest\DE000A2QJK43\JB_1095_ABSOLUTE_Volatility_2023-10-31.pdf,794764e90d28ccc2cbbed27ad0ccbe07,1.20 MiB
DE000A2QJK43,halbjahresbericht,30.04.2023,17.06.2024,https://fondswelt.hansainvest.com/uploads/documents/halbjahresbericht/HJB_1095_ABSOLUTE_Volatility_2023-04-30.pdf,C:\Users\Ana_Marija\Documents\teletrader\Hansainvest\DE000A2QJK43\HJB_1095_ABSOLUTE_Volatility_2023-04-30.pdf,b3694dc5268d15ad7d4e4a56a68bfc8d,534.68 KiB
